"","iso_o","iso_d","dist"
"591","BEL","ROU",30098.6483657905
"592","BEL","RoW",48652.2428396067
"593","BEL","RUS",17931.8561042422
"594","BEL","SouthCarolina",17012.1796124838
"595","BEL","SouthDakota",17743.7139244682
"596","BEL","SVK",21544.4569306224
"597","BEL","SVN",12182.4578822981
"598","BEL","SWE",11445.0692795725
"599","BEL","Tennessee",17515.0480857706
"600","BEL","Texas",20217.11847804
"601","BEL","TUR",12516.1165790748
"602","BEL","TWN",42813.0803838849
"603","BEL","Utah",20217.0964196107
"604","BEL","Vermont",13875.9710083275
"605","BEL","Virginia",15778.2549298723
"606","BEL","Washington",19708.612175104
"607","BEL","WestVirginia",16062.6636450172
"608","BEL","Wisconsin",16399.5023151447
"609","BEL","Wyoming",19074.0625148102
"610","BGR","Alabama",35811.6548358701
"611","BGR","Alaska",33186.7364254698
"612","BGR","Arizona",41396.6590606855
"613","BGR","Arkansas",36582.3649817263
"614","BGR","AUS",84324.0108605005
"615","BGR","AUT",14505.3220407318
"616","BGR","BEL",17163.5904427135
"617","BGR","BGR",6035.17960258976
"618","BGR","BRA",79881.6166525933
"619","BGR","California",41713.7462329928
"620","BGR","CAN",52298.7623898603
"621","BGR","CHN",93956.6604109277
"622","BGR","Colorado",37754.5675046972
"623","BGR","Connecticut",29733.1106721169
"624","BGR","CYP",11983.2903496141
"625","BGR","CZE",27659.0555895866
"626","BGR","Delaware",31042.6462827665
"627","BGR","DEU",28795.1311519096
"628","BGR","DNK",24888.0504297674
"629","BGR","ESP",24562.8207920803
"630","BGR","EST",19443.9154381352
"631","BGR","FIN",29176.1153462906
"632","BGR","Florida",36078.1995180019
"633","BGR","FRA",18845.583471676
"634","BGR","GBR",20155.5599194159
"635","BGR","Georgia",34963.8189814465
"636","BGR","GRC",4731.1830298132
"637","BGR","Hawaii",50965.8992613838
"638","BGR","HUN",13197.3631115385
"639","BGR","Idaho",37734.774422849
"640","BGR","IDN",233076.139920637
"641","BGR","Illinois",33583.2336545321
"642","BGR","IND",123052.026738206
"643","BGR","Indiana",33462.9514072762
"644","BGR","Iowa",34422.6164466064
"645","BGR","IRL",37447.2232531219
"646","BGR","ITA",9609.56476267209
"647","BGR","JPN",49774.1406188083
"648","BGR","Kansas",36346.793913437
"649","BGR","Kentucky",33930.8793077473
"650","BGR","KOR",48589.6987283124
"651","BGR","Louisiana",37759.1305233321
"652","BGR","LTU",19145.2288674794
"653","BGR","Maine",28168.8434104401
"654","BGR","Maryland",31412.9051639824
"655","BGR","Massachusetts",29144.9071113694
"656","BGR","MEX",75229.8879452111
"657","BGR","Michigan",32155.1813403603
"658","BGR","Minnesota",33484.1154415082
"659","BGR","Mississippi",36666.0531786888
"660","BGR","Missouri",35393.4579695052
"661","BGR","Montana",36131.1012421435
"662","BGR","Nebraska",35612.8132897253
"663","BGR","Nevada",40533.8056271832
"664","BGR","NewHampshire",28938.5675839589
"665","BGR","NewJersey",30439.0648684513
"666","BGR","NewMexico",39775.2817407119
"667","BGR","NewYork",30172.4373014333
"668","BGR","NLD",33828.2194575411
"669","BGR","NorthCarolina",33189.5940372928
"670","BGR","NorthDakota",33908.9235751343
"671","BGR","Ohio",32512.519415401
"672","BGR","Oklahoma",37388.5901986078
"673","BGR","Oregon",38545.9029012455
"674","BGR","Pennsylvania",31081.8030373216
"675","BGR","POL",27983.8634720026
"676","BGR","PRT",28565.9375690909
"677","BGR","RhodeIsland",29326.8881500055
"678","BGR","ROU",9034.98248751522
"679","BGR","RoW",56457.6397128382
"680","BGR","RUS",21825.7972263033
"681","BGR","SouthCarolina",34008.0825130542
"682","BGR","SouthDakota",34948.6431577471
